entidad;cif;ccaa;ayudas;financiadores;desde;hasta;importe_concedido_eur
INSTITUTO NACIONAL DE TECNICA AEROESPACIAL ESTEBAN TERRADAS (INTA);Q2822003F;Madrid;1;AEI;2023;2023;335625,00
FUNDACIO INSTITUT DE BIOENGINYERIA DE CATALUNYA;G64045719;Cataluña;1;AEI;2022;2022;291015,00
UNIVERSIDAD DE HUELVA;Q7150008F;Andalucía;1;AEI;2023;2023;215380,00
INSTITUT D ESTUDIS ESPACIALS DE CATALUNYA;G61051710;Cataluña;1;AEI;2023;2023;207500,00
BARCELONA SUPERCOMPUTING CENTER   CENTRO NACIONAL DE SUPERCOMPUTACION;S0800099D;Cataluña;1;AEI;2023;2023;199462,04
Consejo Superior de Investigaciones Científicas (CSIC).;;Madrid;1;FB;2023;2023;198793,21
UNIVERSIDAD DE VIGO;Q8650002B;Galicia;1;AEI;2024;2024;197500,00
FUNDACION IMDEA NUTRICIÓN;G84912724;Madrid;1;AEI;2023;2023;158750,00
ASOC BC3 BASQUE CENTRE FOR CLIMATE CHANGE-KLIMA ALDAKETA IKERGAI;G95532826;País Vasco;1;AEI;2025;2025;140000,00
CENTRO DE VISION POR COMPUTADOR;Q5856375J;Cataluña;1;AEI;2018;2018;126566,00
CONSORCI CENTRE DE CIÈNCIA I TECNOLOGIA FORESTAL DE CATALUNYA;Q7550005H;Cataluña;1;AEI;2023;2023;122210,00
PLATAFORMA TECNOLOGICA ESPAÑOLA DE SEGURIDAD INDUSTRIAL;G01453455;País Vasco;1;AEI;2020;2020;93208,00
ASOC. DE INVESTIGACION Y COOPERACION INDUSTRIAL ANDALUCIA F. DE PAULA R.;G41099946;Andalucía;1;AEI;2013;2013;90499,50
Universidad de La Laguna;;Canarias;1;FB;2021;2021;88800,00
UNIVERSIDAD DE EXTREMADURA;Q0618001B;Extremadura;1;AEI;2013;2013;83900,00
CANVAX BIOTECH SL;B14596571;Andalucía;1;AEI;2013;2013;79600,50
Institut de Recerca i Tecnologia Agroalimentàries (IRTA);;Cataluña;1;FB;2021;2021;72415,00
ECOHYDROS, S.L.;B39564380;Cantabria;1;AEI;2019;2019;69974,40
GENERAL EQUIPMENT FOR MEDICAL IMAGING SA;A97273536;Comunidad Valenciana;1;AEI;2014;2014;66600,00
ASSOCIACIÓ HÀBITATS;;Cataluña;1;FECYT;2025;2025;40000,00
SCIENCE FOR CHANGE, SL;;Cataluña;1;FECYT;2025;2025;40000,00
INSTITUTO DE SALUD CARLOS III DE MADRID (ISCIII);Q2827015E;Madrid;1;AEI;2014;2014;35800,00
UNIVERSIDAD DE A CORUÑA;;Galicia;1;FECYT;2025;2025;30000,00
INSTITUTO ESPAÑOL DE OCEANOGRAFIA (IEO) - (CSIC);Q2823001I;Illes Balears;1;AEI;2018;2018;27830,00
ASOCIACIÓN INVESTIGACIÓN SANITARIA BIOCRUCES BIZKAIA;;País Vasco;1;FECYT;2021;2021;25000,00
FUNDACIÓ HOSPITAL UNIVERSITARI VALL D'HEBRON INSTITUT DE RECERCA (VHIR);;Cataluña;1;FECYT;2024;2024;25000,00
UNIVERSIDAD DE LEÓN;;Castilla y León;1;FECYT;2025;2025;25000,00
FUNDACION OSO DE ASTURIAS;;Asturias;1;FECYT;2020;2020;15600,00
CENTRE INTERNACIONAL DE METODES NUMERICS A L ENGINYERIA;Q5850006G;Cataluña;1;AEI;2020;2020;15000,00
UNIVERSIDAD POLITÉCNICA DE CARTAGENA;;Murcia;1;FECYT;2020;2020;15000,00
INSTITUTO DE ASTROFISICA DE CANARIAS (IAC);Q3811001A;Canarias;1;AEI;2015;2015;4050,00
Asociación Cultural Proyecto Alnitak;;;1;FB;2017;2017;0,00
Asociación Paisaje Limpio;;;1;FB;2026;2026;0,00
Asociación Red Cambera;;Cantabria;1;FB;2020;2020;0,00
Ecoherencia SCA;;;1;FB;2019;2019;0,00
Fundación AZTI;;País Vasco;1;FB;2024;2024;0,00
Instituto de Ciencias Marinas de Andalucía (ICMAN-CSIC);;Andalucía;1;FB;2026;2026;0,00
Instituto de Ecología Litoral;;Comunidad Valenciana;1;FB;2020;2020;0,00
Instituto Español de Oceanografía (IEO);;Madrid;1;FB;2021;2021;0,00
Instituto Universitario Ecoaqua, Universidad de Las Palmas de Gran Canaria.;;Canarias;1;FB;2023;2023;0,00
Sociedad Española de Ornitologí­a (SEO/BirdLife);;Madrid;1;FB;2020;2020;0,00
Universidad de Alicante;;Comunidad Valenciana;1;FB;2021;2021;0,00
Universidad de Las Palmas de Gran Canaria ULPGC;;Canarias;1;FB;2021;2021;0,00
